"Control_Participant1"	"Control_Participant10"	"Control_Participant11"	"Control_Participant12"	"Control_Participant13"	"Control_Participant14"	"Control_Participant15"	"Control_Participant16"	"Control_Participant17"	"Control_Participant18"	"Control_Participant19"	"Control_Participant2"	"Control_Participant20"	"Control_Participant21"	"Control_Participant3"	"Control_Participant4"	"Control_Participant5"	"Control_Participant6"	"Control_Participant7"	"Control_Participant8"	"Control_Participant9"	"COVID19_Participant10"	"COVID19_Participant11"	"COVID19_Participant12"	"COVID19_Participant13"	"COVID19_Participant14"	"COVID19_Participant15"	"COVID19_Participant17"	"COVID19_Participant18"	"COVID19_Participant19"	"COVID19_Participant2"	"COVID19_Participant20"	"COVID19_Participant21"	"COVID19_Participant22"	"COVID19_Participant23"	"COVID19_Participant25"	"COVID19_Participant26"	"COVID19_Participant27"	"COVID19_Participant28"	"COVID19_Participant29"	"COVID19_Participant3"	"COVID19_Participant30"	"COVID19_Participant31"	"COVID19_Participant32"	"COVID19_Participant33"	"COVID19_Participant34"	"COVID19_Participant35"	"COVID19_Participant36"	"COVID19_Participant37"	"COVID19_Participant38"	"COVID19_Participant39"	"COVID19_Participant4"	"COVID19_Participant40"	"COVID19_Participant5"	"COVID19_Participant6"	"COVID19_Participant7"	"COVID19_Participant8"	"COVID19_Participant9"
"Control_Participant19"	2366.14634235743	5316.75595780783	8082.67029890475	1017.34029382633	805.409520123628	2149.78856092601	1800.45743010022	56122.4733361007	14636.6560512172	3862.31582942205	0	543.291166176346	2601.26576493706	2213.06960920913	19514.6008169554	2807.32579364045	6625.40666637672	544.479848289562	4022.20607372023	1158.11757565155	2111.24451860114	431.961437105117	4171.09983105668	968.623011040409	8523.5061003058	3577.73549327033	13934.7401208831	7834.11958694979	489.356103668183	35449.7555859923	3195.60165787234	11448.3460406231	719.365452874723	4110.1595541567	1920.53012982333	6887.39436490515	6060.04925116288	1519.1832446346	27751.8085145708	5233.44099896823	770.869735903017	1213.44761643799	3836.62512074493	9596.84091834273	1030.67635365783	14999.9765311135	681.308681779549	2476.54118463791	6666.87039976748	918.860744079444	2932.33370702662	19070.8185033702	2899.16176133812	1192.10224768638	965.66586300209	2872.24728052987	5395.3859899584	1265.25191992186
"Control_Participant2"	2418.6611447196	5316.9979597179	7879.43090131271	873.811577829329	794.266103224844	2087.44621751023	1753.22769934034	56140.2529564147	14643.6731025679	3858.2376842796	543.291166176346	0	2635.39978815228	2195.28519454059	19494.4874638849	2831.00995354012	6593.22317002473	501.721057632615	3991.82872561628	1128.37661613466	2142.43544799055	387.969100457594	4169.37859424	907.864237836494	8608.12730800891	3538.44856105573	13923.8506155275	7791.83663294855	441.521289798047	35503.3774206043	3167.01816861508	11433.7537001352	693.640026002121	4087.8514529192	1910.97246245548	6874.95613045391	6073.74119752875	1476.76789644065	27716.7870743618	5150.93399958544	750.03772289983	1219.82494120805	3836.11620956321	9441.78611406417	1096.42722421213	14987.9735245686	730.903141336125	2516.93218969741	6787.72297136948	884.230090239397	3003.91493315874	19086.2672726597	3017.55271065685	1203.7916136807	862.518928095894	2894.60326685487	5430.22644775541	1225.17167457937
"Control_Participant20"	3331.07575035425	6522.61325275476	8473.68421965222	2597.06193307364	2315.04130057668	3272.47547855361	3480.82648292728	55036.820374637	16296.0267363662	4424.19734817083	2601.26576493706	2635.39978815228	0	2589.66320666386	21039.7167594449	2245.18736427604	8319.22465963901	2731.76007737006	5578.67323167628	2780.71884906073	3635.4926913697	2518.19365308883	5794.46577232683	2816.59499080463	8605.58820426206	4649.98405821675	14224.5414790674	7830.71425035311	2442.26611219228	34823.0920330738	4441.00213896014	11266.3252605191	2402.92849725601	5628.45753348109	2715.51794183431	8264.77928120231	6150.38842696223	2662.09969985479	27587.6855053345	5917.1535183036	2477.74104757578	2195.99504577671	4479.90592229923	10974.4538955406	2910.29099024924	14956.4211571041	2740.48273320255	2292.53546673271	6643.61084116268	2726.74878768974	4275.6278167963	20297.9454408549	3412.2740586404	3040.18087718269	2872.85832440028	4440.09773028327	5441.27496001157	2631.95259728407
"Control_Participant21"	2904.60781020343	6202.42437320346	7848.99243987559	2255.40922749368	2138.24712427401	3194.02782784419	3089.92611445774	55424.6077936658	15545.0321257224	3774.11685246045	2213.06960920913	2195.28519454059	2589.66320666386	0	20532.0763870093	2306.65295977462	7794.8252799604	2305.17429524246	5167.80631673238	2287.93763517535	3393.3889147089	2131.38725663606	5395.02383465505	2438.8245524874	8821.96574419436	4494.37295510654	14314.2660353438	8020.85069387005	2082.81341808741	35457.3507929862	4098.87867310223	11186.5749100478	2159.027548412	5178.64758523474	2679.55932422143	7991.03359905497	5923.51855193456	2596.30790438691	27503.8620351831	5452.64451871325	2173.49393601091	2041.97325805163	4267.79150836416	10317.7221067359	2631.183202351	15230.9159690546	2333.21826032984	2797.17645733053	6869.56635964788	2085.58943970106	3973.70511900538	19388.2646227997	3379.25937513466	2749.99388524947	2433.078177156	3753.58615135923	5545.26563934483	2351.4890534296
"Control_Participant3"	19075.5476500031	17547.1570112991	22336.1106650868	19711.8585772014	19825.0604228128	18971.6969440312	18999.3874635882	67824.0022654558	14158.0064039699	20638.0775917038	19514.6008169554	19494.4874638849	21039.7167594449	20532.0763870093	0	20834.5870289733	15493.1910053975	19317.6173183678	17708.4934792516	19513.0932150841	18817.1431957698	19599.8352075126	18566.9375543486	19633.7801096414	23603.4239044991	19862.6488304591	25071.3005526483	23717.4606698411	19702.4916538101	46262.8874048192	19804.9854734429	26375.8990799358	19852.971040033	18542.0851366686	20420.4879863663	16600.9084490999	21392.5701183031	20122.5627282048	39686.0895147291	21032.4968754793	19552.7735435458	20115.7094701919	20274.7296832931	18036.6909785947	19337.7043987816	21251.1499672092	19324.1712696273	20680.5429724258	21437.7985527946	19546.5582075093	19190.5954005119	19145.2576538315	20164.9386351939	19257.1352153137	19327.0146043628	18490.4910253518	21935.5795119824	19777.5086482475
"Control_Participant4"	3322.92640513241	6708.77690737308	8775.75710149803	2811.87236151473	2487.71641765087	3187.61967415287	3612.37241216603	54652.7567798083	16284.4506347412	4353.77308054535	2807.32579364045	2831.00995354012	2245.18736427604	2306.65295977462	20834.5870289733	0	8194.5443775166	2895.2198984346	5587.56695131225	3001.53171659739	3626.48116164183	2724.00979456008	5934.13347242265	3043.54227451707	9292.43183681623	4908.15824130418	14578.8232158016	8469.25478624758	2670.19222796766	35493.1985302995	4637.04927235562	11607.935746325	2698.11920386249	5710.1983537243	2940.6936476639	8250.82400014814	5710.36306032482	3106.0288206432	27626.6566635722	6089.67006265416	2617.18467308794	2264.04097497436	5057.76878646464	10962.7011768286	3135.41090225752	14680.0415836985	2969.23102257449	2796.10765872492	6951.3635472062	3031.88916341628	4582.62222839089	19858.9950924635	3811.8303818874	3201.35348352885	3071.45173115528	4548.19189604198	5754.77211480004	2822.05557742856
"Control_Participant5"	6654.67886258478	6894.24693144529	11137.2810650916	6894.17306866755	6985.69876227751	6708.6767537693	6166.19798807323	59618.244396442	10783.5317208677	8233.91136900836	6625.40666637672	6593.22317002473	8319.22465963901	7794.8252799604	15493.1910053975	8194.5443775166	0	6446.87724665322	5516.93608930924	6573.4526328049	6351.88543380031	6722.74517543701	6321.32005820715	6711.42843282564	11865.1706398527	7307.83278722041	15677.6676230185	11920.8311856431	6828.87963591006	38158.9932215505	7365.06843688808	15222.2176272331	6961.05803843207	6244.85533481931	7658.95869042166	7229.54571008044	9914.04253318688	7284.20259697037	30951.4993097146	9182.61413106332	6745.18395150015	7289.17633889604	8195.64539857397	8543.93341979689	6515.52099756452	15323.4096469193	6579.33615706813	8002.27716456723	9857.51350777626	6760.11362251305	6565.38703219641	16686.6330033988	7454.60368868396	6494.62517567087	6503.46071067311	5680.71349770889	9392.11272039589	7168.0657229702
"Control_Participant6"	2412.82299799437	5286.6839746261	8117.04194223519	1044.30210529012	864.582222300537	2117.70931664193	1779.74111000538	56224.5298615587	14516.0717308567	3919.15809770336	544.479848289562	501.721057632615	2731.76007737006	2305.17429524246	19317.6173183678	2895.2198984346	6446.87724665322	0	3826.03235769877	1116.40633253234	2035.88985207542	448.25888678477	4096.62985052726	933.823413956025	8661.62833006807	3495.6512075403	13876.0347419102	7868.37873183484	542.758249815821	35576.2848942341	3155.31320816159	11509.9980737812	789.34009738148	3960.27900926962	1989.75219186608	6743.14862244799	6097.26812396258	1566.67493897588	27780.8704924647	5179.90686532603	743.348177401643	1321.5272437626	3973.44599741879	9474.38906213692	1041.91469120178	14893.2404620469	666.997326906373	2585.85132268819	6788.83993045689	991.692370044839	2929.36787069217	18957.2781546926	3047.19088571168	1159.18005713219	831.467646461428	2839.83387273416	5487.47540338353	1304.34712056862
"Control_Participant7"	4628.26913769275	5921.60392754586	9322.90794422065	4239.1843610916	4256.34449643641	4597.98598629589	4105.94880269002	58078.1601919672	13272.9248027161	6153.48549392349	4022.20607372023	3991.82872561628	5578.67323167628	5167.80631673238	17708.4934792516	5587.56695131225	5516.93608930924	3826.03235769877	0	3699.14538886202	4133.04659306846	4064.17811842085	3955.09177781106	3885.40094754081	9418.09693317778	3977.36238715744	12945.273090842	9032.32665755624	4116.88687380256	36653.00248985	5283.06985431313	12642.7728582218	4189.89932058126	3212.69974186658	4865.39484312795	6668.90679203457	8009.57646868479	4629.9952181718	29425.8477254308	7123.96265993696	4037.93633489741	4561.18850885536	5965.71519542823	9165.63182457134	3967.82225663947	14774.0152177432	3955.39700766845	5302.73602063728	8271.72375964048	4150.57060536357	4687.13509680044	18434.4942184211	5190.55194552119	4057.77700240105	3908.03023313314	4065.83246304372	7492.25552520571	4487.51331340452
"Control_Participant8"	2578.05336456706	5427.4068145676	8058.1325013727	1462.82656615745	1316.35871588004	2490.77009858572	2094.4637176985	56302.8989539029	14605.5608421692	4011.08587699757	1158.11757565155	1128.37661613466	2780.71884906073	2287.93763517535	19513.0932150841	3001.53171659739	6573.4526328049	1116.40633253234	3699.14538886202	0	2435.64961872491	1111.08631389984	4053.7970813007	1218.44858889138	8408.95800659303	3409.16485056487	13600.3028438494	7688.9943109323	1120.63055949818	35424.2586088517	3584.25106553262	11318.7815348467	1237.10707959513	3789.37949787801	2237.48886545469	7029.73750210953	6346.83368129598	1953.00062137856	27999.7560065407	5399.62404902754	1273.24929621409	1670.98728692245	4015.47927116326	9682.39506600055	1556.29668861605	14979.3285101413	1242.48053744231	2667.73220253061	6875.59874192492	1210.71810672764	3183.9415645434	19096.7777407393	3041.27709136948	1754.22277759105	1343.29719990609	2950.16779554762	5600.35660424238	1754.0262657093
