"Control_Participant1"	"Control_Participant10"	"Control_Participant11"	"Control_Participant12"	"Control_Participant13"	"Control_Participant14"	"Control_Participant15"	"Control_Participant16"	"Control_Participant17"	"Control_Participant18"	"Control_Participant19"	"Control_Participant2"	"Control_Participant20"	"Control_Participant21"	"Control_Participant3"	"Control_Participant4"	"Control_Participant5"	"Control_Participant6"	"Control_Participant7"	"Control_Participant8"	"Control_Participant9"	"COVID19_Participant10"	"COVID19_Participant11"	"COVID19_Participant12"	"COVID19_Participant13"	"COVID19_Participant14"	"COVID19_Participant15"	"COVID19_Participant17"	"COVID19_Participant18"	"COVID19_Participant19"	"COVID19_Participant2"	"COVID19_Participant20"	"COVID19_Participant21"	"COVID19_Participant22"	"COVID19_Participant23"	"COVID19_Participant25"	"COVID19_Participant26"	"COVID19_Participant27"	"COVID19_Participant28"	"COVID19_Participant29"	"COVID19_Participant3"	"COVID19_Participant30"	"COVID19_Participant31"	"COVID19_Participant32"	"COVID19_Participant33"	"COVID19_Participant34"	"COVID19_Participant35"	"COVID19_Participant36"	"COVID19_Participant37"	"COVID19_Participant38"	"COVID19_Participant39"	"COVID19_Participant4"	"COVID19_Participant40"	"COVID19_Participant5"	"COVID19_Participant6"	"COVID19_Participant7"	"COVID19_Participant8"	"COVID19_Participant9"
"Control_Participant21"	8474.94949837461	21616.1845615733	31198.6555639822	7710.91097082569	6089.63118751867	11040.3008111192	9965.54840437795	128615.848700695	53067.1020312962	15368.9754375495	6031.02793891721	6251.98360522482	6127.42637654668	0	69582.5524898304	5930.1528648088	21927.6685491185	5887.60316257813	22252.2430554765	4911.1961883028	13962.1058941694	6500.10738372836	39114.0477833732	8646.5320793946	66027.6567659341	32613.3696817731	70492.0491048459	26902.77567464	6532.90884675425	128326.315687781	23135.2309692382	31928.2814914928	7566.76892735598	13721.0342904608	16881.3342778348	28855.2096509452	44231.4369764311	6173.98185938378	98480.0685062719	14466.2120128249	6312.90115557023	14141.4605681309	16892.7407190189	77294.6210547668	11207.7032883638	68027.0284739823	5797.75353046333	13127.0972419648	24631.8114640398	5386.23050008074	8889.33394580269	111823.760136207	8682.94995954716	11458.1588835205	5664.94033507856	25602.8577311206	25361.8530868704	10429.6138471182
"Control_Participant3"	62343.5783381095	53262.7688352755	53237.989687816	69033.4182914333	70956.1348510472	63425.5021343939	64942.6941387559	130412.445962799	30444.3977605076	59478.3464043849	70928.6467162599	71249.0980714844	67832.9959311838	69582.5524898304	0	67635.6744181649	50021.7983383245	70635.8140888884	50953.1526011885	68411.2631296923	61637.9212660518	72041.6900343128	47929.9129876114	66286.418005501	49641.4674944245	49337.448018721	46772.5145357827	53939.4429707983	72113.9564370171	100638.338266289	54898.3872896099	54685.4498015697	69203.8980477256	58997.2375370237	62695.7027873522	49527.752129488	50137.0980412708	69332.3511428828	82320.4307690381	60551.2979299371	67984.3975335518	65916.5942839889	60986.0270061922	51828.7823607694	65395.4083250499	40214.9923535987	70718.0338456889	62488.8939652479	50675.8534313927	70784.5935073445	63727.5022027382	59780.2053526082	63697.48513874	65079.5677613181	69804.6960597924	50543.5504194155	53459.922156696	66097.8591029997
"Control_Participant4"	8069.12498354066	19065.4052146814	28581.9934224329	6813.72460552964	6979.89247768187	7828.01807611607	7773.20268615196	126739.116889775	52509.8369927007	15307.5982113459	7387.51426394562	7797.67644878909	4112.10250358621	5930.1528648088	67635.6744181649	0	20556.4684466958	7473.7266473962	19761.1932838075	6323.9379345468	10556.0144941166	8263.82314670395	35919.271999861	6760.07189310883	62902.3090911614	29248.9302881319	68156.263996789	25051.6803029258	8194.31321100188	125118.196482366	20510.7353598061	30985.8952105631	6708.50974509242	12593.9349291633	13390.8621828469	26265.5903607743	41093.5716140615	6482.58135313395	97565.3651456294	14454.8616389089	5278.77561561391	11016.0407588207	14298.1959701215	73858.2480905146	8619.93039415052	66550.9584303637	7754.09330611903	9696.1499060194	22780.8674330018	7819.77812984486	8668.7553316494	110308.9120425	7278.2155093127	8777.48631442966	7427.01393562716	22956.1302270221	23060.1412181279	7875.11993559463
"Control_Participant5"	15081.2681495954	13872.2862931818	24095.4191289548	21599.5713383391	23015.3093831041	17334.2000680735	18032.5318521832	127120.200617368	34846.7507524016	16299.0961712605	22912.7769595918	23163.1651334614	20565.8944857743	21927.6685491185	50021.7983383245	20556.4684466958	0	22555.5421792516	11352.8398649853	20296.8374383794	16970.8190432872	23966.147583623	27336.7791811691	19151.475582837	53518.510648186	22019.9861035378	56513.2619391236	20142.8462487306	24053.5923304607	117284.199438799	17195.6823069048	26256.3976775185	21707.2795623957	12138.9172499033	19894.0536090562	18480.8795245248	36179.963805952	21596.316491476	91095.6856662268	17068.6324584016	20356.5261034392	21251.2973956886	18473.4055604266	63125.6481154847	19179.3725392673	54462.7533365694	22690.5925440479	17803.3736128858	16473.9921087756	22724.7666434663	16474.4366216269	95194.9489678943	16589.4215089014	19046.5228585167	21715.0800827443	15329.4665921551	18780.1055907575	19974.5411712009
"Control_Participant6"	10288.7436550825	21915.3845049545	32042.4047786679	4635.93410220637	1478.28041994745	10115.6957743894	8388.41117256421	131541.933770186	54919.9271758439	18095.4958207837	1079.77266125791	914.082053209667	6169.15318337939	5887.60316257813	70635.8140888884	7473.7266473962	22555.5421792516	0	23113.0717993087	3290.19072395507	13241.5130555386	1502.38177571481	39357.3345515166	6999.55641451657	67053.6313036065	33156.4257271498	72340.1681778526	28570.9059709348	1607.59540929924	129373.997669547	23836.091143474	34749.8394240894	4437.07121872075	14275.9127554073	16172.1522995549	29090.100120144	46628.3394943461	3299.35311841579	101148.911027257	16139.8834878075	4258.18247612758	12820.3486692055	16668.1403881777	77523.0013286379	9550.15350661967	70465.5799096268	1035.81996505184	13445.3814003174	27345.0438105336	1705.898003985	8803.01817560318	114550.634742894	9230.75722787681	9808.83927893612	1694.45212384416	26463.4222465652	26892.4642790504	8963.86177938951
"Control_Participant7"	15889.6981091524	11086.0079379369	18496.4296014123	20985.6783783608	23173.5669891366	16078.2806605682	17266.6605341044	125226.633828431	38500.9266511859	16096.6826706623	23266.1164142192	23684.9205191827	19597.2514144203	22252.2430554765	50953.1526011885	19761.1932838075	11352.8398649853	23113.0717993087	0	20587.342786285	14228.1520233655	24461.4277383803	21972.568466158	17897.904011364	47928.9606083837	14466.2347900205	51337.7138369055	14731.5485947676	24436.5585342945	112046.597480691	13259.6920401644	22251.1149832992	21028.3772792862	11501.1853736908	15827.8311843411	15938.1686840113	31339.1674745836	21399.2276262486	88707.399184059	16638.1950643692	19835.606267518	18458.1430810361	14776.0801297232	59407.8054046773	17403.726727342	54700.2618275269	23341.5399877557	14326.887903519	14249.8391218989	23293.0144463957	17074.9803806622	95012.8355434149	15861.388243152	17281.0071465757	22506.0118634999	11049.1768471683	14199.3712888987	18124.0667070059
"Control_Participant8"	7857.77137616004	19970.9987982574	30146.7677703597	5028.74258637286	3703.84394919656	8874.70145976753	7384.86838068222	130166.399654442	52500.2039805561	15872.3346738909	3649.41365153363	3910.62565326829	4966.08658804898	4911.1961883028	68411.2631296923	6323.9379345468	20296.8374383794	3290.19072395507	20587.342786285	0	11945.6075190842	4526.51609960685	37536.2076933725	6001.92860670635	64919.3704220859	31111.5772020642	69623.1184521348	26049.7509585025	4558.48593285095	127435.469654253	22109.3712257947	32228.4233402753	4902.19644649212	11789.5609757107	15130.3650649943	27313.265128871	44659.2807040149	3643.25211864345	99414.7537994236	14167.6185719407	3717.45437093719	12291.7257128525	15144.6275292593	75891.33277259	8806.15563114802	68132.7425471777	3419.96666650422	11783.204572611	24829.8572690219	3214.30443486612	7127.9563691145	112061.558426608	6966.24159787758	9082.40667444483	2918.06733986726	24377.4235718215	24757.4105673433	8308.45551230793
"Control_Participant9"	10819.6474064546	11982.172424064	21018.5268751166	9566.13417217216	12794.3723957059	4702.38205593718	5696.5050688997	128026.225797686	48728.0374220017	15521.501377122	12967.8543714834	13497.0966507616	9851.07491596729	13962.1058941694	61637.9212660518	10556.0144941166	16970.8190432872	13241.5130555386	14228.1520233655	11945.6075190842	0	14221.6603461059	27427.7056094745	6959.1623059101	55187.4367496806	21424.069711425	63331.754720677	21747.0265093874	14137.5171441099	118035.799531329	13773.7388170387	29036.05872015	9726.26531614268	11480.345073211	5721.91786029824	19777.2250581319	36041.8331664748	11309.6515861453	94140.890817965	14427.7640332797	9524.59363962579	6579.6170101306	7644.11185161494	65058.822975827	5294.33111922554	63968.7895774181	13651.461570103	5067.89709840285	20241.7214929956	13683.8554508589	10317.3225693491	105704.603050198	8289.98630879449	4910.68752823879	13137.4869743037	15545.7706467065	17605.6996168854	5985.0192982145
"COVID19_Participant10"	11586.6919782999	23084.6075773447	33007.9872000702	5193.55465938311	1740.94744320442	11110.2890151427	9356.42672177793	132030.423937061	56296.1482163745	19198.5514557739	1421.6145750519	926.118242990602	7006.10890580499	6500.10738372836	72041.6900343128	8263.82314670395	23966.147583623	1502.38177571481	24461.4277383803	4526.51609960685	14221.6603461059	0	40409.0946941403	7940.8636180204	68096.109360227	34280.9853417314	73592.6805939286	29725.8772957166	369.553784989411	130243.875011457	24916.743727863	35824.3486891248	4987.22147091945	15630.7704864476	16922.5547421186	30241.1910810404	47618.9114428291	4087.22203947865	102029.120054032	17242.6511882599	5254.52062513794	13381.0499214374	17550.6697592998	78521.2820195901	10351.4974279087	71741.272005729	1734.31542690481	14397.6427237239	28601.8730855166	2185.55507823528	10047.65485076	115885.519108299	10426.7510759584	10621.7139389084	2766.83374997487	27646.8997900307	28003.2133156179	9695.61565863664
"COVID19_Participant11"	33205.7192212426	21319.7652660624	16690.0689932666	35707.934916486	39090.6638981739	30548.2268879881	31736.6672635928	127029.937325813	42623.5317870305	31918.8197150208	39142.4086382021	39660.2210659497	35496.4896856013	39114.0477833732	47929.9129876114	35919.271999861	27336.7791811691	39357.3345515166	21972.568466158	37536.2076933725	27427.7056094745	40409.0946941403	0	32710.7692205488	30680.096349262	10916.5745543188	47547.0692787684	26803.1800165577	40328.1287192947	95155.5120631485	18633.092335949	31066.3738308802	35820.0804577544	29542.7701477028	25082.227233641	22712.6565597246	25925.3657447682	37267.0145302786	84815.6032637863	32651.2074508739	35595.6698630606	29421.911783567	25184.9532260832	40238.4554624056	30699.2192571733	58521.7566123916	39646.670982568	27766.974159962	25665.4759550646	39564.9969164665	33453.6600987097	88507.4395799585	32054.4855831442	30457.9552990676	38978.3827140121	16020.1548681653	20026.4553528576	31607.3811474472
