feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
MRLN	Bloody_Swab	Yes	1.699435938067	0.631559777281035	0.00937744318722985	0.375410308928768	CPLM	1.052	58	9	84
PKIG	Bloody_Swab	Yes	1.31402145262461	0.487827171346989	0.00930900584713996	0.375410308928768	CPLM	1.337	58	21	64
ABCA13	Bloody_Swab	Yes	1.02649603242278	0.385973811997153	0.0101863182918296	0.394637686080238	CPLM	1.517	58	48	17
MAOB	Bloody_Swab	Yes	1.83812301072245	0.689667167895143	0.0100337689260497	0.394637686080238	CPLM	1.262	58	13	78
LRRC10B	Bloody_Swab	Yes	1.47033007726304	0.56693694567749	0.0121018403636587	0.457940697032251	CPLM	1.43	58	24	59
EFCAB10	Bloody_Swab	Yes	1.28051823540498	0.494352783232516	0.0122015839342481	0.457940697032251	CPLM	1.346	58	23	60
BTG2	Bloody_Swab	Yes	1.58085267899984	0.618337566835878	0.0133079857255809	0.48661729290747	CPLM	1.41	58	21	64
PPIL6	Bloody_Swab	Yes	1.25539386399563	0.491389816261312	0.0133708331939605	0.48661729290747	CPLM	1.369	58	23	60
S100A9	Bloody_Swab	Yes	-4.68788780530599	1.93879174389099	0.0188869821281255	0.487674451543238	CPLM	1.651	58	23	60
MTRNR2L1	Bloody_Swab	Yes	1.978385850358	0.801215740446761	0.0166161931819705	0.487674451543238	CPLM	1.712	58	34	41
PLAU	Bloody_Swab	Yes	2.33756553132235	0.948269730701387	0.0167901240794566	0.487674451543238	CPLM	1.369	58	7	88
RSPH1	Bloody_Swab	Yes	1.25219546087656	0.518070652106898	0.0189295287399324	0.487674451543238	CPLM	1.547	58	30	48
TENT5C	Bloody_Swab	Yes	1.32298476705843	0.534846437532051	0.0164354500710913	0.487674451543238	CPLM	1.01	58	23	60
AC007906.2	Bloody_Swab	Yes	1.22406901416645	0.48252704310896	0.0140013313351445	0.487674451543238	CPLM	1.445	58	26	55
