feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
YOD1	sex	male	-0.295750153910029	0.508194922029212	0.562927876503292	0.896022257806647	CPLM	1.304	58	22	62
CMYA5	sex	male	-0.30801906580599	0.526250534739694	0.560691395608242	0.896022257806647	CPLM	1.1	58	14	76
WDR66	sex	male	-0.222201290629643	0.374717504305744	0.555579500130178	0.896022257806647	CPLM	1.46	58	28	52
ALDH3B1	sex	male	-0.172936128431235	0.296210465679288	0.561680025304118	0.896022257806647	CPLM	1.485	58	39	33
TENT5A	sex	male	0.20536692449312	0.351246864354579	0.561111427537364	0.896022257806647	CPLM	1.36	58	34	41
OXSR1	sex	male	0.35663336119614	0.613532095684086	0.563384822095444	0.896022257806647	CPLM	1.39	58	27	53
AGBL2	sex	male	-0.297397724925776	0.499890702366975	0.554289692463153	0.896022257806647	CPLM	1.372	58	23	60
SPIRE1	sex	male	0.245897939325541	0.424132257489535	0.564397034163804	0.896022257806647	CPLM	1.26	58	23	60
ZNF83	sex	male	0.319793418496144	0.546344628301921	0.560675384786987	0.896022257806647	CPLM	1.131	58	31	47
JAG2	sex	male	-0.420979047241844	0.726109132186987	0.564392566330258	0.896022257806647	CPLM	1.01	58	6	90
RASSF6	sex	male	-0.622244189541883	1.05936240247089	0.559312100658461	0.896022257806647	CPLM	1.01	58	20	66
CBX4	sex	male	-0.249937205937318	0.429290024431694	0.562761618901433	0.896022257806647	CPLM	1.01	58	25	57
TTLL3	sex	male	0.348821392444402	0.589423538502826	0.556365646555094	0.896022257806647	CPLM	1.221	58	17	71
TMA7	sex	male	0.164520383941668	0.277355950247053	0.55545279051541	0.896022257806647	CPLM	1.126	58	32	45
SH3KBP1	sex	male	-0.258788726639373	0.431873952119375	0.551440946086362	0.896022257806647	CPLM	1.191	58	24	59
DNAJA4	sex	male	0.168643164138223	0.284542606279718	0.555780140308739	0.896022257806647	CPLM	1.484	58	42	28
AKAP6	sex	male	0.44906786226443	0.769998196563014	0.562095824626738	0.896022257806647	CPLM	1.262	58	23	60
EDEM1	sex	male	0.207099340268428	0.353716835343914	0.560567277966331	0.896022257806647	CPLM	1.156	58	24	59
FRYL	sex	male	-0.194447899294012	0.332573376861177	0.561113466629626	0.896022257806647	CPLM	1.165	58	36	38
RBPJ	sex	male	-0.236982380911732	0.400919073768702	0.55683333492132	0.896022257806647	CPLM	1.176	58	31	47
PSMA3AS1	sex	male	-0.206836684251787	0.350629909333361	0.557630319686984	0.896022257806647	CPLM	1.118	58	27	53
LAMC2	sex	male	-0.176169813438308	0.300086643434318	0.559520800874037	0.896022257806647	CPLM	1.359	58	31	47
TPRG1	sex	male	-1.17616821441451	2.01039438293447	0.560868501938054	0.896022257806647	CPLM	1.153	58	6	90
EPHX3	sex	male	0.380306826753767	0.643193385335457	0.556712698949043	0.896022257806647	CPLM	1.349	58	9	84
ODF2L	sex	male	-0.1677670943735	0.288823412501918	0.563662674004888	0.896022257806647	CPLM	1.393	58	43	26
SMNDC1	sex	male	-0.244630249711395	0.408095744569417	0.551295001885348	0.896022257806647	CPLM	1.126	58	26	55
HK2	sex	male	0.290927509918052	0.48891637893284	0.554210015765693	0.896022257806647	CPLM	1.292	58	19	67
UTP20	sex	male	-0.317186414411079	0.53683017351729	0.556997825494411	0.896022257806647	CPLM	1.187	58	20	66
RNF144B	sex	male	-0.232177645420165	0.395194215104115	0.559227749704349	0.896022257806647	CPLM	1.149	58	20	66
MAP3K9	sex	male	0.405573695691911	0.693374635938915	0.560946162996361	0.896022257806647	CPLM	1.01	58	25	57
PARM1	sex	male	0.24245629216932	0.412368512996073	0.558922695392801	0.896022257806647	CPLM	1.33	58	33	43
KMT2D	sex	male	0.384158369664281	0.648836594158696	0.55618498893154	0.896022257806647	CPLM	1.01	58	24	59
STAT5B	sex	male	0.222600410282558	0.372424564297971	0.552445594723793	0.896022257806647	CPLM	1.01	58	20	66
MYH10	sex	male	-0.217816072260289	0.362759824457635	0.550634379135145	0.896022257806647	CPLM	1.131	58	24	59
KLF5	sex	male	-0.13197265509691	0.226110647956583	0.561789954122267	0.896022257806647	CPLM	1.313	58	44	24
